City,Cloudiness(%),Humidity(%),Latitude,Longitude,Temperature(F),Wind Speed(mph),Initial Cluster,Cluster
tyukhtet,43,88,56.54,89.3,20.86,6.49,8,8
ninghai,90,76,29.29,121.42,50.0,6.71,7,6
provideniya,100,98,64.38,-173.3,28.56,20.74,7,6
byron bay,21,56,-28.65,153.62,71.6,12.75,1,3
souillac,75,94,-20.52,57.52,73.4,5.93,2,2
saldanha,0,82,-33.01,17.94,64.4,2.24,1,3
aktash,99,56,50.3,87.73,11.55,8.68,3,9
sioux lookout,90,66,50.1,-91.92,16.5,13.87,3,9
reconquista,69,46,-29.15,-59.65,87.06,6.91,10,0
farah,74,27,32.5,62.5,53.49,3.02,0,5
stornoway,100,70,58.21,-6.39,42.44,18.34,7,6
eyl,60,80,7.98,49.82,79.54,19.98,9,1
eureka,90,71,40.8,-124.16,49.87,10.29,7,6
poum,100,85,-20.23,164.02,81.36,13.82,2,2
kysyl-syr,39,96,63.9,122.76,-15.84,7.47,4,10
babaeski,0,74,41.43,27.09,47.53,1.3,8,8
holt,1,38,42.64,-84.52,41.09,16.11,6,7
orlik,0,86,52.52,99.83,4.57,3.67,4,10
villamontes,87,42,-21.25,-63.5,86.25,4.9,10,0
mildura,0,54,-34.2,142.15,54.75,11.41,6,7
baker city,1,25,44.77,-117.83,50.45,20.8,6,7
orange walk,40,78,17.83,-88.83,82.17,8.05,9,1
tukan,100,86,53.84,57.46,34.66,13.38,7,6
tahoua,0,14,14.89,5.27,78.8,6.93,5,4
pitimbu,100,88,-7.47,-34.81,78.8,8.05,2,2
arrecife,20,72,28.96,-13.55,65.16,13.87,1,3
ketchikan,1,19,55.34,-131.65,34.74,5.82,6,7
kiama,90,82,-34.68,150.87,58.05,17.22,7,6
necochea,29,57,-38.55,-58.74,84.0,10.0,9,1
mount isa,0,36,-20.73,139.5,80.6,10.29,5,4
cap-haitien,10,81,19.76,-72.2,77.56,15.64,1,3
obera,88,45,-27.49,-55.12,83.28,2.3,10,0
kendari,100,89,-3.94,122.5,79.02,2.15,2,2
narsaq,100,57,60.92,-46.05,21.2,3.36,3,9
yichang,100,63,30.71,111.28,54.23,1.63,7,6
kucevo,92,69,44.48,21.67,48.0,6.71,7,6
griffith,1,36,41.53,-87.42,47.53,18.34,6,7
weatherford,90,93,32.76,-97.8,64.4,5.75,2,2
gimli,100,70,50.63,-96.99,15.53,5.01,3,9
alta floresta,100,92,-9.88,-56.09,75.54,1.92,2,2
whitehorse,75,36,60.72,-135.05,15.31,8.05,0,5
meadow lake,75,44,34.8,-106.54,57.81,14.99,0,5
bilibino,100,92,68.05,166.44,-12.57,8.5,3,9
trelew,66,58,-43.25,-65.31,56.59,43.84,0,5
gazojak,0,41,41.19,61.4,50.59,8.25,6,7
canico,75,72,32.63,-16.85,60.01,14.99,10,0
conde,100,88,-7.26,-34.91,78.8,8.05,2,2
alekseyevsk,100,89,57.84,108.35,5.81,1.95,3,9
geraldton,40,45,-28.77,114.6,81.88,11.41,9,1
piro,100,81,25.33,84.42,67.51,6.67,2,2
tautira,20,66,-17.73,-149.15,89.6,8.05,1,3
biak,76,72,-0.91,122.88,82.24,8.63,10,0
andapa,100,96,-14.65,49.65,67.62,4.09,2,2
bonfim,90,53,3.08,-59.95,87.12,2.35,10,0
sal rei,45,69,16.18,-22.92,73.4,9.17,9,1
zabid,2,56,14.2,43.32,77.88,7.94,1,3
laguna,1,55,38.42,-121.42,66.7,19.46,5,4
guerande,90,76,47.33,-2.43,49.55,10.29,7,6
san carlos de bariloche,40,50,-41.15,-71.31,51.8,18.34,9,1
vestmannaeyjar,22,78,63.44,-20.27,27.45,12.24,8,8
baoro,76,18,5.67,15.97,65.44,3.44,0,5
lovozero,100,90,68.0,35.01,17.04,19.1,3,9
tiksi,0,79,71.69,128.87,-21.19,3.18,4,10
huarmey,37,74,-10.07,-78.15,72.59,4.76,9,1
kaniama,95,99,-7.57,24.18,66.22,1.41,2,2
flinders,90,82,-34.58,150.86,58.8,17.22,7,6
san juan,6,27,-31.54,-68.54,90.27,12.46,5,4
bontang,91,78,0.13,117.5,81.28,12.12,2,2
sao lourenco do oeste,23,61,-26.36,-52.85,71.51,0.81,1,3
goderich,23,69,43.75,-81.72,37.09,18.99,8,8
kamien pomorski,40,69,53.97,14.77,35.92,13.87,8,8
sisimiut,100,93,66.94,-53.67,-1.39,6.24,3,9
les cayes,0,70,18.2,-73.75,79.77,4.36,1,3
salalah,100,57,17.02,54.09,75.2,5.82,10,0
sam roi yot,74,78,12.27,99.87,78.01,5.93,10,0
constitucion,12,89,-35.33,-72.42,59.05,8.3,1,3
chumikan,100,76,54.72,135.31,8.31,9.17,3,9
lerwick,51,51,60.15,-1.15,37.4,17.22,0,5
fortuna,90,81,40.6,-124.16,49.96,12.75,7,6
manaure,20,78,11.78,-72.44,80.6,20.8,1,3
moba,0,44,33.23,105.02,39.45,2.1,6,7
kaohsiung,90,88,22.62,120.31,70.41,2.24,2,2
pasighat,27,62,28.07,95.33,64.85,2.13,9,1
puerto carreno,39,46,6.19,-67.49,91.4,7.49,9,1
palana,100,70,59.12,159.97,23.86,12.1,3,9
maamba,60,85,-17.37,27.15,68.81,2.26,9,1
yar-sale,72,91,66.83,70.83,28.33,15.82,7,6
tekeli,39,52,44.83,78.82,23.63,7.65,8,8
ranong,30,86,9.97,98.63,78.46,4.63,9,1
nampula,75,94,-15.12,39.27,75.2,8.05,2,2
nova odesa,98,82,47.31,31.79,45.01,6.22,7,6
ambilobe,100,92,-13.2,49.05,77.04,6.98,2,2
pemangkat,100,89,1.17,108.97,77.02,0.47,2,2
hovd,93,57,48.01,91.64,12.02,0.89,3,9
arcachon,0,93,44.59,-1.05,41.88,1.95,8,8
thinadhoo,64,67,0.53,72.93,82.99,7.65,10,0
coihaique,75,66,-45.58,-72.07,53.6,7.07,10,0
novyy urengoy,99,90,66.08,76.63,33.46,18.92,7,6
sungaipenuh,87,97,-2.08,101.38,63.59,2.35,2,2
sainte-suzanne,20,83,-20.91,55.61,74.46,11.41,1,3
praia,37,47,14.92,-23.51,77.0,13.87,9,1
dawlatabad,99,47,36.41,64.91,52.7,3.42,0,5
hoquiam,90,86,46.98,-123.89,40.57,9.17,7,6
melito di porto salvo,74,82,37.92,15.77,57.36,18.34,7,6
iranshahr,0,15,27.2,60.68,62.78,1.59,5,4
matagami,90,94,49.75,-77.63,32.0,23.04,7,6
saint-philippe,40,83,-21.36,55.77,74.7,19.46,9,1
faya,100,55,18.39,42.45,63.46,20.8,10,0
samarkand,100,75,39.65,66.96,44.6,3.71,7,6
port-cartier,90,92,50.03,-66.87,18.14,19.46,3,9
kailua,90,83,21.4,-157.74,76.42,10.29,2,2
bloomfield,1,13,40.81,-74.19,62.83,14.99,5,4
yining,0,83,29.04,114.56,51.21,0.96,1,3
tara,100,89,56.89,74.37,23.94,11.61,3,9
margate,63,81,51.38,1.39,43.21,9.17,7,6
touros,100,100,-5.2,-35.46,75.2,3.36,2,2
bad orb,5,86,50.23,9.35,38.12,3.36,8,8
portland,90,86,45.52,-122.68,39.69,6.93,7,6
axim,72,93,4.87,-2.24,78.53,2.89,2,2
camana,61,84,-16.62,-72.71,67.84,5.35,9,1
south lake tahoe,1,25,38.93,-119.98,51.69,27.51,6,7
curuca,100,82,-0.73,-47.85,81.09,11.52,2,2
sumbe,98,90,-11.21,13.84,77.63,2.39,2,2
zwettl,0,72,48.6,15.17,37.38,1.99,8,8
atherton,88,86,53.52,-2.49,41.29,4.7,7,6
lapua,75,85,62.97,23.01,22.5,4.7,3,9
priargunsk,0,80,50.37,119.1,11.3,7.18,8,8
msanga,99,98,-6.05,36.03,65.23,4.14,2,2
cedar city,90,86,37.68,-113.06,37.99,20.8,7,6
rincon,75,54,32.3,-81.24,75.47,11.41,10,0
traismauer,0,60,48.35,15.76,39.69,5.82,6,7
fethiye,0,93,36.62,29.12,55.4,2.24,1,3
dalbandin,7,29,28.89,64.41,56.14,4.07,5,4
nhulunbuy,40,83,-12.23,136.77,84.2,8.05,9,1
tura,100,49,25.52,90.22,72.45,3.2,10,0
mendi,100,66,-6.18,143.65,67.82,1.03,10,0
lourdes,90,87,43.1,-0.05,45.39,4.7,7,6
karratha,31,75,-20.74,116.85,81.37,7.7,9,1
el mante,72,52,22.73,-98.97,84.54,13.0,10,0
urumqi,35,74,43.8,87.6,30.2,6.71,8,8
san luis,0,35,-33.3,-66.34,87.19,8.01,5,4
straumen,90,92,63.87,11.3,25.9,4.7,3,9
akdepe,0,52,42.06,59.38,44.29,2.24,6,7
naze,75,88,28.37,129.48,63.43,11.41,2,2
floro,82,62,61.6,5.03,29.37,8.05,3,9
douglas,90,39,41.3,-96.17,45.32,4.32,0,5
henties bay,0,92,-22.12,14.28,62.01,3.24,1,3
walvis bay,0,82,-22.96,14.51,62.29,3.36,1,3
bantogon,0,66,6.53,124.03,80.4,2.37,1,3
seymchan,49,82,62.88,152.43,-9.89,1.7,4,10
arroyo,0,93,41.61,-4.8,40.64,6.93,8,8
morehead,1,45,37.27,-87.18,48.92,3.36,6,7
belaya gora,14,90,68.53,146.42,-22.63,4.21,4,10
betera,100,87,39.58,-0.45,52.18,3.36,7,6
aviles,75,87,43.55,-5.92,48.2,2.24,7,6
shagonar,60,94,51.53,92.8,0.1,1.16,3,9
banda aceh,0,93,5.56,95.32,72.64,5.06,1,3
uttaradit,3,41,17.67,100.5,78.01,2.3,5,4
badin,0,35,24.66,68.84,63.75,8.34,5,4
bonavista,3,72,48.65,-53.11,21.99,4.0,8,8
